No.,Listing,Bedroom,Bathroom,Garage,Carport,Kitchen,Dining Room,Living Room,Maid's Room,Maid's Bathrrom,Bulding Area(m^2),Land Area(m^2),Furnished,Condition,Year Built,Price(millions Rp)
17,Rumah di Jl.keadilan gang 1 gajah Mada dekat ITC kota jakarta pusat 2 Lantai akses motor,2,2,0,1,1,1,1,0,0,39,22,No,New,2022,489
18,"Jarang Ada, Bagus Utk Bisnis Dan Kantor. Di Jalan Protokol Gambir",3,3,0,20,1,0,0,0,0,3465,3465,No,Need Renov,NULL,550000
19,Rumah Klasik 2 Lantai Siap Huni Lokasi Area Premium Jakarta,6,6,2,12,2,1,1,4,2,1700,2600,No,Old,NULL,400000
20,Rumah Bagus Di Ring 1 Menteng,5,6,0,12,1,0,0,5,5,1724,2629,No,Need Renov,2000,350000
21,Jual Cepat Ring Satu Protokol Menteng Jakarta Pusat,4,3,2,2,1,0,0,2,1,1500,1405,Yes,Old,NULL,330000
22,Teuku Umar Menteng 2.975 m2 Rumah Tua Hitung Tanah,4,4,2,15,2,1,1,2,1,400,2975,No,Need Renov,1680,297000
23,DIJUAL RUMAH MENTENG JAKARTA PUSAT,6,4,2,8,2,1,1,2,4,1500,1975,No,Old,NULL,275000
24,"Rumah Model American Classic di Menteng, Jakarta Pusat",4,3,2,8,1,1,1,0,0,650,1382,Yes,Old,NULL,250000
25,"Dijual Rumah di Lokasi Prime Menteng Ring 1 Harga Menarik , SHM",4,4,2,10,2,1,1,3,1,650,1220,No,Old,NULL,220000
26,#ZONAKOMERSIL#MURAH# RUMAH SIAP HUNI DEKAT IBIS BUDGET CIKINI,5,4,8,0,1,1,1,0,0,500,3000,No,Need Renov,1970,200000
27,"di Jalan Lembang Menteng Jakarta Pusat, Jakarta Pusat",4,2,2,4,1,0,0,0,0,300,1522,No,Need Renov,NULL,175000
28,Rumah lama cocok untuk gedung perkantoran jl wahid hasyim sertifikat SHM lokasi sangat strategis hanya 10 menit ke jalan tamrin,3,3,0,2,1,1,1,2,1,600,2106,No,Need Renov,1995,170000
29,"Prime area dekat Sarinah, lingkungan sangat nyaman & Tenang",4,4,2,4,2,1,1,3,1,1060,1189,Semi,Old,NULL,145000
30,"Bangunan lama hitung tanah di Jln Sungai Gerong, Thamrin. Lokasi super bagus persis sebelahan dg stasiun BNI, Grand Indonesia, dan Thamrin Nine",4,4,2,0,1,0,0,2,2,400,1460,Semi,Need Renov,NULL,143000
31,RUMAH MENTENG - LUXURIOUS MODERN CLASSIC IN PRIME AREA,4,5,2,6,1,1,1,2,2,800,1046,No,Old,2015,125000
32,Rumah Bagus Dijual Cepat Daerah Menteng Jakarta Pusat,13,10,3,4,1,0,0,0,0,1600,860,No,New,NULL,125000
33,Rumah lux super bagus di kawasan Menteng,6,5,4,0,1,1,1,0,0,600,810,Semi,Old,NULL,120000
34,"Dijual Rumah Lama, Lokasi Nyaman, Tenang dan Asri di Menteng Jakarta Pusat",5,5,2,2,1,1,1,2,1,400,988,No,Old,NULL,120000
35,Rumah 2 Lantai di Menteng jakarta pusat SHM Bagus,3,5,4,0,1,1,1,0,0,1050,1189,Semi,Old,2000,120000
36,Rumah Siap Huni di Pusat Kota Jakarta,3,4,1,0,1,0,0,0,0,1500,998,Yes,Old,1985,120000
37,"Rumah Menteng Jl. Pangeran Diponegoro, Jakarta Pusat",5,4,2,4,1,1,1,2,2,950,1467,NULL,Old,2002,119000
38,"Dijual Rumah Hook, Hadap Timur Dan Utara Mewah di Menteng, Jaksel",5,5,4,4,1,1,1,0,0,950,1100,Yes,Old,NULL,110000
39,Rumah kawasan elit menteng di Jl kertosono menteng jakarta pusat,5,5,4,4,2,1,1,5,2,920,1100,Semi,Old,NULL,110000
40,Rumah di Jakarta Pusat Cikini Cocok Untuk Usaha Resto Kantor,7,5,2,4,2,1,1,2,1,600,951,Semi,Old,1995,105000
41,Rumah Brand New 2lt Bagus Murah Cuma 5menit Ke Menteng Jakpus,2,2,0,0,1,0,1,0,0,46,23,No,New,NULL,495
42,Rumah 2 Lantai Minimalis Termurah Dekat Perkantoran Di Grogol Jakarta Barat,2,1,2,0,1,1,1,0,0,37,22,No,New,2024,497
43,Rumah di Jln siklepuh mejasem mejasem tegal,2,1,0,1,1,1,1,0,0,47,104,No,New,2024,515
44,Di Jual Rumah Bagus di Jalan Taman Sari dekat stasiun Sawah Besar,2,1,0,0,1,1,1,0,0,41,21,No,New,2023,535
45,CLUSTER MURAH TANPA DP BOOKING 1JT ALL IN TERIMA KUNCI,2,1,1,1,1,1,1,1,1,45,65,Yes,New,2024,540
46,Rumah jakarta pusat dengan akses bagus dan tidak banjir,2,1,0,0,1,0,1,0,0,40,40,No,Old,NULL,550
47,"Rumah Siap Huni di Kartini, Jakarta Pusat",2,1,0,1,1,1,1,0,0,52,42,No,Old,NULL,550
48,"Rumah Di Gg Palaud, Sangaji, Cideng",4,2,0,0,0,0,0,0,0,96,32,No,Old,1980,550
49,Dijual Rumah 2 lantai Gunung Sahari Rp 575 jt,3,2,0,0,1,0,0,0,0,60,30,No,Old,NULL,575
50,RUMAH 2 LANTAI LOKASI 5 MENIT STASIUN KERETA DP SUKA SUKA,3,2,1,1,1,1,1,0,0,60,40,No,New,2023,575
51,Dijual Rumah Cantik Lebar 6X4 di Taman Sari,2,2,0,0,1,1,1,0,0,47,24,No,Old,2023,594
52,"Rumah Akses Motor Lt 32 M2 di Cempaka Putih , Jakarta Pusat Murah",2,1,0,0,1,0,1,0,0,60,32,Yes,Old,2022,600
53,Rumah dengan akses motor di gunung Sahari Jakarta pusat,2,2,0,0,1,0,1,0,0,43,26,Semi,Old,2023,621
54,Rumah baru 4 unit lagi di Jatisampurna Cibubur KPR DP 0% free,2,1,2,2,1,0,1,0,0,40,72,No,New,2023,630
55,Di jual Rumah Cantik Jalan Keadilan Dalam Jakarta Barat,2,1,0,0,2,1,1,0,0,38,29,No,Old,2022,630
56,Rumah 3 Lantai di Johar Baru Dekat Stasiun KA Senen,4,3,0,1,1,1,1,0,0,165,182,No,Need Renov,NULL,3800
57,Rumah Mewah Di Tengah Kota JL Intan Raya Sumur Batu Kemayoran,5,4,2,2,1,1,1,1,1,800,549,Semi,Old,2010,7800
58,Rumah Daerah Elite Cempaka Putih Jakarta Pusat,8,4,2,2,1,1,1,0,0,221,250,No,Old,2010,4500
59,Di Rumah Minimalis modern,3,2,0,1,1,1,1,0,0,73,25,No,Old,2023,992
60,Jual Cepat Rumah Hook Cempaka Putih Dekat Kfc Cempaka,5,4,1,1,1,1,1,0,0,341,520,No,Old,2010,8840
61,Di Jual Rumah Cantik di Percetakan Negara bebas banjir,3,2,1,1,1,1,0,0,0,71,24,No,Old,2023,959
62,Rumah 3 lantai dekat Cempaka putih dengan kolam renang dan Gym,3,2,1,0,1,1,1,0,0,73,25,No,Old,2023,895
63,Rumah dekat taman,5,4,2,4,1,1,1,1,1,400,676,No,Old,2000,40000
64,"Rumah Bagus Dalam Komplek Cempaka Baru, Kemayoran, Jakarta Pusat",5,3,2,0,1,1,1,0,0,300,150,No,Old,2008,3800
65,Rumah Di Pam Baru Kondisi Rumah Lama Siap Huni Jalan Lebar,4,2,1,1,1,1,1,1,1,120,204,No,Need Renov,2000,6500
66,Rumah Bagus Terawat Lokasi Prime Area Menteng Jakarta Pusat,5,6,2,3,1,1,1,1,1,470,519,Semi,Old,1990,39000
67,Di Rumah Minimalis dan Mewah di CPT 25 Jakarta Pusat,2,3,0,1,1,1,0,0,0,94,53,No,New,2024,2400
68,Di Rumah di Pembangunan SHM Bagus hadap Utara bagunan bagus dekat kota dan stasiun,3,2,0,0,1,1,1,1,0,120,66,Semi,Old,2004,1500
69,Rumah Lama Jalan Lebar Cocok Untuk Lokasi Usaha RSA031823,5,2,1,1,1,0,1,0,0,200,258,No,Need Renov,1990,9000
70,DIJUAL CEPAT HARGA MURAH RUMAH DI MENTENG LUAS 659m2 HANYA Rp 37M atau Rp 54Juta an permeter,5,5,2,4,1,1,1,0,1,700,659,No,Old,2000,37000
71,Rumah di Menteng Jakarta Pusat,5,3,1,3,1,1,1,2,1,500,748,No,Old,1990,75000
72,Rumah Tua Hitung Tanah Dekat Menteng Sunda Kelapa Jakarta Pusat,3,3,5,0,1,1,1,1,1,300,807,No,Need Renov,2000,32000
73,Dijual Rumah Golf Residence Kemayoran Uku 8x15 Komplek Eksklusif Harga Menarik Jarang Ada,4,3,0,1,1,1,1,1,1,145,120,No,Old,2008,4200
74,"Rumah Mewah 3 Lantai di CEMPAKA PUTIH 26E/TAMAN SOLO,,Jakarta Pusat",3,4,0,1,1,1,1,0,0,116,39,No,New,2023,1620
75,Di Jual Rumah Cantik bebas banjir di Jalan Gunung Sahari,3,3,1,1,1,1,1,0,0,82,41,No,New,2023,1030
76,Ajb Bebas Sengketa. Jual Murah Butuh Cepat Harga Di Bawah Njop,4,2,0,0,1,1,1,0,0,128,64,No,Old,1987,610
77,"Jual Brand New House At Menteng Luas 920sqm,harga 45 Milyar Nego",5,5,4,4,1,1,1,3,1,680,920,Semi,Old,2022,45000
78,Rumah Menteng Siap Huni Lokasi Strategis,9,5,3,3,1,1,1,7,2,1485,925,No,Old,2010,70000
79,Rumah 1 Lantai di Bendungan Hilir Jakarta Pusat,4,1,0,2,1,0,1,1,1,148,190,Semi,Old,2010,7300
80,Dijual Rumah di petojo jakpus,3,3,0,4,1,1,1,0,0,442,171,No,Old,2012,6800
81,"Cocok Untuk Usaha, Kantor, Cafe, Resto di Benhil, Jakarta Pusat",2,2,0,10,1,1,1,0,0,289,687,No,Need Renov,1998,31000
82,"Rumah Asri, Hoek, Bagus SHM di Cempaka Putih Tengah, Jakarta Pusat, Dekat Tol Dan Pusat Kuliner",6,4,0,7,1,1,1,1,2,529,516,Semi,Old,2020,15000
83,rumah palmerah residence jakarta barat discount 1.5 milliar bu,9,8,4,0,1,0,0,0,0,655,206,Yes,Old,2018,9000
84,Rumah di Kertasono Menteng Lokasi Strategis Luas 970 Meter Jarang Ada,5,5,0,4,1,1,1,2,1,550,970,Semi,Old,2010,80000
85,"Rumah Mewah di Menteng Jakarta Pusat, Masih Nego",5,5,2,1,2,0,0,1,1,720,370,No,Old,2012,20800
86,"Turun Harga Rumah Bagus Siap Huni di Roxy, Nego",5,5,1,0,1,0,0,1,1,170,170,Semi,Old,2000,4500
87,"Rumah 3 lantai dekat ke Thamrin, Sudirman, Kuningan, SHM, Siap Huni, 3 Kamar Tidur, 3 Kamar Mandi",3,3,0,1,1,0,0,0,0,90,40,No,Old,2022,1450
88,Rumah Modern Minimalis Elegan 2 Lantai Akses Tengah Kota & Tol,2,3,1,1,1,0,1,0,0,77,39,No,New,2024,1360
89,Rumah Menteng Daerah Elit Turun Harga Dari 30 M Menjadi 22 M,7,7,2,0,1,1,1,0,0,600,537,Yes,Old,2009,30000
90,RUMAH MODEREN 2 LANTAI SHM DI CEMPAKA PUTIH BARAT,4,3,0,1,1,1,1,0,0,80,54,No,New,2023,1940
91,Di Jual Rumah Cantik strategis di percetakan Negara akses mobil,2,2,1,1,1,1,1,0,0,71,24,No,New,2023,895
92,Di Jual Rumah Mewah Cempaka Putih dekat Taman Solo,2,2,1,1,1,1,1,1,1,100,72,No,New,2024,3250
93,Dijual Rumah Cantik Di Tamansari dekat stasiun Sawah Besar,2,2,0,0,1,1,1,0,0,41,21,No,Old,2023,540
94,DiJual Rumah Murah 2 lantai di Jalan Industri,2,2,0,0,1,1,1,0,0,47,24,No,Old,2023,630
95,Dijual Cepat Rumah Luas di Cempaka Putih Jakarta Pusat,5,5,0,4,1,1,1,0,0,396,400,No,Old,2010,7900
96,Dijual Rumah Luas di Cempaka Putih Jakarta Pusat,4,3,2,2,1,1,1,2,1,389,823,No,Old,2015,19000
97,Turun Harga Dari 42 M Jadi 20 M Dijual Bu Rumah di Menteng,7,6,2,2,1,1,1,2,2,555,555,Yes,Old,2009,40000
98,Rumah Menteng Jakarta Pusat Lokasi Elit Dekat.taman Menteng,4,3,5,0,1,1,1,2,2,550,265,Yes,Old,2009,28000
99,Jual Rumah Menteng Jakarta Pusat Siap Huni Bagus,4,3,3,1,1,1,1,1,0,375,300,Yes,Old,2023,22500
100,"Rumah Lama Hitung Tanah Murah, Petojo Utara, Jakarta Pusat",2,2,1,0,1,1,1,0,0,66,71,No,Old,2000,1000
101,Townhouse murah springhill kemayoran,4,4,0,1,1,1,1,1,1,500,135,Semi,Old,2000,5300
102,Di jual Rumah 4 Kamar di Cempaka Putih dekat YARSI,3,3,1,1,1,1,1,1,1,94,53,No,New,2024,2400
103,Di Jual Rumah Cantik di Cempaka Putih harga Promo,2,2,1,1,1,1,1,1,1,76,52,No,New,2024,1810
104,Di Jual Rumah Mewah Murah Di Gunung Sahari,3,3,1,1,1,1,1,0,0,90,47,No,Old,2023,1140
105,GRIYA MEWAH DI CEMPAKA PUTIH BARAT JKT PUSAT,2,2,1,1,1,0,0,0,0,58,32,No,New,2023,1300
106,CLUSTER 3 LT. DI PUSAT KOTA. JAKPUST,3,2,1,1,1,1,1,0,0,109,37,No,New,2024,1500
107,Rumah Tua Hitung Tanah Di Jalan Lembang Terusan Menteng,5,4,2,2,1,0,1,1,1,371,312,Semi,Old,2010,16500
108,Rumah Tua Hook Cideng Petojo. 13x20. Masuk Mobil,3,2,1,0,1,1,1,1,0,200,263,No,Need Renov,2000,3700
109,"Rumah MURAH 5 lantai Pinggir jalan Bisa dipakai Usaha ,",6,5,2,1,1,1,1,1,1,150,190,Semi,Old,2005,4900
110,"Rumah Asri Cikini Menteng hitung tanah, heritage, klasik",3,3,2,2,1,1,1,1,1,353,517,Semi,Old,1968,26500
111,Golf Residence Kemayoran View Kolam Renang,3,3,1,1,1,1,1,1,1,288,144,No,Old,2017,5700
112,Jual Rumah di Sutan Syahrir 75 M 5 kamar mewah,5,5,3,2,1,1,1,3,2,550,720,Semi,Old,1998,75000
113,RUMAH MEWAH SIAP HUNI 4LT PEJOMPONGAN JAK-PUS,5,7,2,2,2,1,1,1,2,500,226,Semi,Old,2018,13200
114,Rumah 2 Lantai Plus Roof Top Strategis di Kwitang Jakarta Pusat,5,4,1,1,1,1,1,1,1,300,214,Semi,Old,2015,6500
115,Di Rumah Mewah 3 kamar di Cempaka Putih,2,2,0,0,1,1,1,1,1,84,54,No,New,2024,1910
116,"Rumah 1,5 lantai,posisi hook,siap huni,harga murah,lokasi strategis di cempaka putih,Jakarta pusat",4,2,0,1,1,1,1,0,0,100,139,Semi,Old,2010,2000
117,RUMAH MINIMALIS 3 LANTAI LOKASI GUNUNG SAHARI JAKARTA PUSAT,3,3,0,1,1,1,1,0,0,90,47,No,New,2024,1140
118,Rumah Siap Huni di Kebon Kosong Kemayoran,6,2,1,2,1,0,0,1,0,240,248,No,Old,2012,2800
119,Di Jual Rumah Cantik 3 lantai dekat mall Green Pramuka,3,3,1,1,1,1,1,0,0,101,35,No,New,2024,1400
120,RUMAH MEWAH 2 LANTAI DI KOMPLEK CEMPAKA PUTIH TENGAH,3,3,1,0,1,1,1,0,0,97,55,No,New,2024,2470
121,Di Jual Rumah Mewah 3 lantai Nyaman Cempaka Putih,3,3,1,1,1,1,1,0,0,115,39,No,New,2024,1610
122,Rumah Lama Salemba,7,4,2,7,1,1,1,1,0,270,450,No,Need Renov,1990,12800
123,Dijual Rumah Menteng Murah lokasi Strategis Dan Aman,5,5,2,1,1,1,1,1,1,600,395,Yes,Old,2010,33000
124,Rumah Posisi SUPER STRATEGIS dan SUPER MENGUNTUNGKAN di Pinggir Jalan Raya,4,2,1,0,1,0,0,1,1,180,281,No,Old,1965,17000
125,RUMAH CLASSIK BERSEJARAH DI MENTENG,3,3,2,2,1,1,1,3,1,338,1110,No,Old,1925,90000
126,"Rumah murah di Jakarta Pusat harga 1,5 M nego sampai deal",4,2,0,1,1,0,0,0,0,110,133,No,Need Renov,2010,1500
127,"Dijual Rumah 2 Lt. Di Bungur Besar, Gn. Sahari",4,2,0,1,1,1,1,1,1,200,120,No,Old,2007,6000
128,"Rumah Cempaka Putih, Murah Siap Huni",3,3,1,1,1,1,1,0,0,154,74,No,Old,2018,1700
129,DIJUAL CEPAT HARGA MURAH RUMAH DI MENTENG LUAS 659m2 HANYA Rp 37M atau Rp 54Juta an permeter,5,4,2,4,1,1,1,0,1,700,659,No,Need Renov,2000,37000
130,Rumah Bagus Cempaka Putih Siap Huni Harga Nego,3,3,0,2,1,0,0,1,,220,132,No,New,2024,3800
131,"Pejompongan,bangunan Baru,2lantai, Dalam Komplek, Siap Huni,shm",3,4,0,2,1,1,1,2,2,300,201,Semi,Old,2021,8000
132,"Karang Anyar, Jakarta Pusat, Rumah 320 M2, Shm, Bagus",6,5,0,2,1,0,0,1,1,200,320,No,Old,1990,5500
133,CEMPAKA PUTIH RAYA - Jauh Dibawah NJOP Rumah,5,5,1,1,2,1,1,2,2,500,601,No,Old,1970,1550
134,For Sale House At Menteng Atas - Modern Single House,3,3,2,1,1,1,1,1,1,196,223,Semi,Old,2019,3500
135,Rumah Tua Cideng Petojo 9x13. Jalan 2 Mobil,4,2,1,0,1,1,1,0,0,100,117,No,Need Renov,2000,2900
136,FOR SALE MENTENG ~ LT/LB 879/1000 ~ BRAND NEW HOUSE ~ PRIME AREA,4,4,4,6,2,1,1,2,1,1000,879,Semi,New,2022,100000
137,"Rumah Tua Murah Bgt Di Rajawali Selatan, Kemayoran, Jakarta Pusat",2,1,0,0,1,0,0,0,0,235,200,Semi,Need Renov,2012,3100
138,"Rumah Lama Terawat, Asri, Imam Bonjol , Menteng Jakarta Pusat",5,4,0,10,1,0,0,1,1,800,1382,No,Need Renov,1980,195000
139,Rumah Menteng Murah Bagus mangunsarkoro bebas banjir itung tanah,4,4,1,2,1,1,1,1,1,556,716,No,Old,2005,45000
140,Rumah di Cempaka Putih 533m² Termurah Negoo,3,2,1,1,1,1,1,2,2,341,533,Semi,Old,2012,8800
141,dijual rumah mewah cantik dan elegant di jln cempaka putih 25 jakarta pusat,3,3,1,1,1,1,1,0,0,94,53,No,Old,2023,2400
142,"Rumah 1,5 Lantai Siap Huni Cideng Jakarta Barat",2,1,0,1,1,1,1,0,0,50,56,No,Need Renov,1990,1400
143,"Dijual Rumah Cideng, Jakarta Pusat Furnish, Lokasi Strategis",6,3,2,0,1,1,1,1,1,240,140,Yes,Old,2009,6400
144,Rumah Baru Siap Huni di Rawasari Jakarta Timur,2,1,0,1,1,1,1,3,1,78,67,No,New,2023,2480
145,Rumah Baru Cideng Petojo 3 Lantai. 5x18. Jalan 2 Mobil. Siap Huni,4,3,1,0,1,1,1,1,1,250,90,No,New,2020,4000
146,RUMAH MENTENG GAYA CLASSIK,3,3,4,4,1,1,1,1,1,318,680,No,Old,1930,65000
147,Rumah Tua Cideng Petojo. 10x40. Jalan Lebar 3 Mobil,4,3,4,0,1,1,1,1,1,300,400,No,Need Renov,2000,11000
148,Rumah Tua Cideng Petojo. 9x18. Masuk Mobil,2,2,1,0,1,1,1,1,1,90,166,No,Need Renov,2000,3300
149,Rumah Tua Hook. Cideng. 2 Lantai. 12x20. Harga Pbb,3,2,1,0,1,1,1,1,1,250,245,No,Need Renov,2000,5750
150,"Jual Cepat Rumah di Jalan Petojo Selatan, Jakarta Pusat",5,3,0,3,1,1,1,1,1,226,225,No,Old,2000,7000
151,Hunian indah siap huni 2 Lantai di Sunter,3,2,0,1,1,1,1,0,0,135,60,No,New,2023,1000
152,Rumah tua di Guntur Menteng,5,3,0,3,1,1,1,1,1,400,258,No,Need Renov,1980,13000
153,Rumah Minimalis Lokasi Cempaka Putih,5,2,0,2,1,1,1,0,0,105,209,No,Old,2000,4590
154,"Rumah Gajah mada 58m, 2lt, Bagus dan Murah",2,1,0,0,1,1,1,0,0,58,58,No,Old,2019,1250
155,"Jual Super Cepat Rumah di Petojo Selatan , Jakarta Pusat",2,1,1,1,1,1,1,0,0,120,160,No,Old,1998,4000
156,Rumah Bagus Dan Terawat Di Persatuan Guru,4,4,1,3,2,1,1,1,1,250,319,No,Old,2007,13000
157,"Rumah 1 Lantai Hadap Danau Jalan Situ Lembang ,Menteng",4,0,4,2,0,0,0,2,2,500,742,No,Need Renov,1990,71000
158,"Cempaka Putih Tengah, Komplek, Bagus, SHM, Strategis, Jual Cepat",5,3,1,2,1,1,1,1,1,320,400,No,Old,1970,9500
159,Rumah Pinggir Jalan Dekat ke Stasiun Senen Jakarta Pusat,2,2,0,1,1,1,1,0,0,72,68,No,Old,2021,1400
160,Rumah Menteng Murah Bagus terawat Jalan pasuruan siap huni bebas banjir,3,3,2,2,1,1,1,1,1,450,909,No,Old,2010,55000
161,"Rumah Mewah Sangat Terawat, Excellent Interior Ada Swimming Pool di Kawasan Elite Dan Bebas Banjir di Pejompongan Jakpus",7,5,2,2,3,1,1,1,1,650,240,Semi,Old,2014,19000
162,Rumah mewah siap huni di Cempaka Putih Jakarta,6,4,1,2,2,1,1,0,0,500,400,No,Old,2008,15000
163,Rumah Murah Dua Lantai di Sumur Batu Jakarta Pusat,4,3,0,2,2,1,1,1,1,350,247,No,Old,2008,4880
164,"Rumah Hitung Tanah Area Bojonegoro Menteng, Jakarta Pusat Harga Drop",4,3,1,2,2,1,1,2,1,283,555,No,Need Renov,1988,21000
165,Rumah 3 lantai Harga 1 lantai,4,3,1,0,1,1,1,0,0,150,60,No,New,2024,1700
166,Cideng Area Rumah Tua Harga NJOP !!!!,4,3,0,1,1,0,0,1,1,100,158,No,Need Renov,1970,2900
167,Cideng Cepattt Rumah Siap Huni Ada Carport,2,2,0,1,1,0,0,0,0,110,72,No,Old,2017,2100
168,Kartini Rumah di Jalan 2 Mobil NO BUNTU,2,1,0,0,1,0,0,0,0,60,30,No,Need Renov,1990,850
169,Rumah dijual deket perkantoran cempaka putih jakarta pusat,3,3,2,2,1,1,1,0,0,94,53,Yes,New,2023,2370
170,Rumah dijual dekat perkantoran Jakarta pusat,2,2,1,1,1,0,0,0,0,42,22,No,New,2023,500
171,Rumah Siap Huni Full Furnish SHM Di Kemayoran Jakarta Pusat,3,2,0,1,1,1,1,1,1,200,96,Yes,Old,2007,2800
172,"Dijual Home Office Siap Huni, di Jalan Surabaya, Menteng, Jak Pusat",7,7,0,9,1,1,1,0,0,761,754,No,Old,2008,60000
173,Cocok Untuk Disewakan Sekaligus Menjadi Hunian Area Elit,4,4,2,2,1,0,0,0,0,318,542,Yes,Old,2015,49900
174,Rumah Design Klasik Harga Mulai 300jutaan Row Jalan Lebar,2,1,1,1,1,1,1,0,0,45,72,No,New,2024,392
175,"Dijual rumah jl kartini, 2 lantai, hoek, hadap timur, terawat, jual cepat, lokasi strategis, dekat pasar/pusat perbelanjaan/pertokoan, lingkungan aman/nyaman, 3.5m nego",3,2,1,1,1,1,1,1,0,160,167,No,Old,2012,3500
176,"Rumah Mewah Menteng 1195m², 40jutaan/m Murahhh",5,4,2,2,1,1,1,2,1,650,1195,Semi,Old,2012,55000
177,RUMAH DIJUAL BARU SUPER PREMIUM HOUSE MENTENG,5,5,4,6,2,1,1,2,2,1000,875,Yes,New,2023,1000000
178,"Rumah Mewah Menteng Modern Classic, Nego",13,9,4,3,1,0,0,2,1,1170,925,No,Old,2010,65000
179,Rumah luas di Jalan Proklamasi Menteng jakarta pusat,5,3,2,5,1,0,1,1,1,363,537,No,Need Renov,1990,40200
180,Dijual Rumah Di Menteng 3 Lantai Lokasi Strategis Langsung Owner,4,3,2,2,1,1,1,1,1,500,363,Semi,Old,2000,22500
181,"BELI PASTI UNTUNG. BENHIL RUMAH BESAR. Jl. Danau Tondano, Kel. Bendungan Hilir, Kec. Tanah Abang, Jakarta Pusat, Bendungan Hilir",4,3,2,2,1,1,1,1,0,300,269,No,Old,2012,10800
182,Townhouse Jakarta Pusat SHM,4,3,0,1,1,1,1,0,0,150,80,No,New,2023,1600
183,"Dijual Rumah Sdh Direnovasi, Barat, Lokasi di Kemayoran Barat, Jakarta",11,4,0,2,1,1,1,1,0,329,212,No,Old,1990,3500
184,"Rumah Kantor 2 Lantai di Tanah Abang, Jakarta Pusat",5,5,0,8,1,0,0,0,0,400,388,No,Need Renov,1980,18500
185,Rumah Lama Petojo Harga Termurah Dibawah Pasaran,3,2,0,2,1,0,1,1,1,136,206,No,Need Renov,2000,3790
186,Rumah 2Lt deket perkantoran,2,2,0,1,1,0,0,0,0,36,19,No,New,2023,415
187,Town house keren siap huni 2 Lantai di Sunter,4,3,0,1,1,1,1,0,0,162,80,No,New,2023,1600
188,Rumah Kost Setia Kasih,40,40,0,1,0,0,0,2,2,885,405,Yes,Old,2012,15000
189,Rumah Modren Minimalis Cempaka Putih,5,6,1,1,1,1,1,0,0,408,408,Semi,Old,2020,8500
190,RUMAH DWI WARNA,4,3,0,2,1,1,1,0,0,690,230,Semi,Old,2020,6500
191,CLUSTER MEWAH JALAN CEMPAKA PUTIH BARAT 25 . JAKARTA PUSAT,3,3,1,1,1,1,1,1,1,95,53,No,New,2024,1300
192,"Rumah Kos Lt 126 M2 di Sumur Batu, Kemayoran, Jakarta Pusat Murah",22,20,1,0,1,1,1,1,0,370,126,Yes,Old,2015,4200
193,"Rumah 3 Lantai Dekat Area Perkantoran, Cikini, Menteng, Jakarta Pusat",4,4,2,4,1,1,1,2,2,430,518,Semi,Old,2011,39900
